Time,Irradiance,Temp,Vpv,Ipv,Vdc,Vrms_1,Vrms_2,Vrms_3,Irms_1,Irms_2,Irms_3,Pac,Q,THDv_1,THDv_2,THDv_3,THDi_1,THDi_2,THDi_3,ScenarioID,SetTemp
0,300,45,480.050254816809,539.127932554031,480.050254816809,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.001,300,45,487.298878697438,491.626501505671,487.298878697438,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.002,300,45,472.389885988142,503.376604872724,472.389885988142,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.003,300,45,437.640834677116,513.595409743121,437.640834677116,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.004,300,45,411.545138943581,513.319781440318,411.545138943581,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.005,300,45,388.098389497967,511.476982048972,388.098389497967,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.006,300,45,379.332752135914,508.659288566597,379.332752135914,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.007,300,45,438.717137522071,500.893805435467,438.717137522071,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.008,300,45,439.145785593333,497.633823103809,439.145785593333,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.009,300,45,451.593184725011,491.72205632237,451.593184725011,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.01,300,45,452.638598105438,488.290579187343,452.638598105438,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.011,300,45,424.887260463052,490.176143422898,424.887260463052,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.012,300,45,375.481623201985,489.828523502035,375.481623201985,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.013,300,45,273.106176093671,489.631403725472,273.106176093671,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.014,300,45,239.633343917444,487.37903238299,239.633343917444,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.015,300,45,258.959756734937,483.697452658668,258.959756734937,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.016,300,45,265.250856016192,480.335593891943,265.250856016192,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.017,300,45,400.31277322162,473.010260960156,400.31277322162,13647.4801920074,13842.7408181788,14469.827440919,54.3027086681129,67.7567913967782,15.8264220510907,-664.611842955461,-393.009576189814,1.49011611938477e-08,1.49011611938477e-08,1.89150100698828,1.49011611938477e-08,1.49011611938477e-08,0.593354515585416,18,45
0.018,300,45,440.593837766406,466.082409417484,440.593837766406,13673.2501755651,14195.8878512635,14079.4609316666,56.9203701389801,69.9257310785706,15.8223866884252,-561.378236973049,-430.630156468499,1.49011611938477e-08,1.49011611938477e-08,1.93888482794879,1.49011611938477e-08,1.49011611938477e-08,0.631654909703881,18,45
0.019,300,45,405.437697696445,466.412009418916,405.437697696445,14103.9049039785,14120.1180485319,13764.8951500422,58.2859051414652,70.6172610157667,15.7022377400291,-374.128184143716,-457.394678119599,1.49011611938477e-08,1.49011611938477e-08,1.90107007605428,0.314305186577404,1.49011611938477e-08,0.94411601292465,18,45
0.02,300,45,300.561471017322,466.634160773288,300.561471017322,14400.1410344991,13720.7288572022,13936.5396924224,58.6618221432197,69.867757740885,15.5223905724758,-119.800162165565,-421.51857346614,1.49011611938477e-08,1.49011611938477e-08,1.77565070912799,1.24577861895826,0.724233893867915,1.38586707297502,18,45
0.021,300,45,243.743931023057,464.944011326933,243.743931023057,14191.6564084097,13519.9876531571,14347.8213928866,58.548820923182,67.9521395494628,14.1806274891346,69.0914537568511,-298.500166024411,1.49011611938477e-08,1.49011611938477e-08,1.7709573237768,2.0287859554784,1.68314223964691,2.36765466651121,18,45
0.022,300,45,213.692665457837,462.5507320703,213.692665457837,13779.4600865655,13787.5214952999,14475.6770934758,57.7847294161693,65.977907765565,12.8588211715853,122.233092261561,-171.582144470454,1.49011611938477e-08,1.49011611938477e-08,1.872410210778,2.66493247614318,2.74766912554586,4.23213137315771,18,45
0.023,300,45,150.408763867188,460.965799326512,150.408763867188,13686.0567871152,14168.7270698822,14137.7955330862,56.9150476346283,65.3669829738031,13.4763105491751,3.41251829396174,-118.686716954443,1.49011611938477e-08,1.49011611938477e-08,1.93536696348878,7.6497087429431,7.39543367069257,2.71843452664772,18,45
0.024,300,45,38.2023431880457,460.630974933288,38.2023431880457,14039.2566135733,14167.9341927551,13732.9419976424,57.8699317698691,67.2482831193836,14.4708617172539,-269.73521270142,-174.430333924167,1.49011611938477e-08,1.49011611938477e-08,1.92173816653954,2.67691535185703,1.1603674697725,0.897880149627053,18,45
0.025,300,45,17.5382766004135,457.965922133879,17.5382766004135,14367.3642750317,13764.6567586726,13776.4830845944,60.6158552575851,71.1554985920585,15.2164532116796,-562.525758216963,-324.524385010148,1.49011611938477e-08,1.49011611938477e-08,1.80108370209196,0.572761991517016,1.49011611938477e-08,1.49011611938477e-08,18,45
0.026,300,45,66.5124753481458,453.498384142566,66.5124753481458,14231.8749507228,13451.7214596524,14180.2304531373,64.7439518685546,75.7394162077675,15.3619800875879,-733.799058534879,-463.486177426923,1.49011611938477e-08,1.49011611938477e-08,1.75469826877707,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.027,300,45,212.363279306155,446.637955295627,212.363279306155,13775.442065039,13631.4482288399,14408.3752446442,69.3273789694779,79.7152225400615,15.2817306209957,-778.797358022935,-549.977597075659,1.49011611938477e-08,1.49011611938477e-08,1.84810533850668,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.028,300,45,415.292376162013,437.50009577784,415.292376162013,13549.2683800986,14073.4242842531,14179.377474897,72.684485063132,82.2597578681576,15.2591769735606,-707.586609439767,-618.5846190369,1.49011611938477e-08,1.49011611938477e-08,1.92700852198811,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.029,300,45,547.150050836995,175.235188507307,547.150050836995,13811.8678234391,14229.6187901971,13765.5520727575,73.6152637884483,83.0059690756413,15.1895093507979,-524.782035509625,-657.534535514898,1.49011611938477e-08,1.49011611938477e-08,1.93765079648814,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,18,45
0.03,300,45,550.499319769388,145.434769091608,550.499319769388,14182.8338007774,13928.9191656666,13676.0830256678,72.1848783362981,81.8498797494875,17.082724178967,-283.447145406774,-582.956051060388,1.49011611938477e-08,1.49011611938477e-08,1.84771089890891,0.699317694809872,1.49011611938477e-08,0.814269497462591,18,45
0.031,300,45,601.268221330281,429.38791341691,601.268221330281,14196.7359978829,13556.8162454598,14050.3690178972,69.7663027145445,79.0087727623689,19.761765331499,-83.8907225757647,-436.924171455027,1.49011611938477e-08,1.49011611938477e-08,1.76770418065129,1.5789456529738,1.17383487204692,2.94044760519288,18,45
0.032,300,45,599.832841891371,425.886022425357,599.832841891371,13823.3302108826,13619.4884565577,14422.335629678,66.8015026652701,75.2599815834063,20.7337933020628,42.9889051735719,-304.875958203458,1.49011611938477e-08,1.49011611938477e-08,1.83512604706326,2.10540037858269,2.17879703203048,4.62754198524948,18,45
0.033,300,45,579.173375222265,346.481815046954,579.173375222265,13528.5607516985,14039.8005468299,14348.2158546812,62.9206292990118,71.6385065691877,21.0809656637472,55.3667703071503,-222.932747868467,1.49011611938477e-08,1.49011611938477e-08,1.9228353523806,2.72679729236059,3.60735813877943,3.75016509990612,18,45
0.034,300,45,527.89999856514,284.497566159489,527.89999856514,13690.5926006963,14270.6589480864,13923.8201337456,60.2825198226265,69.3275691420603,21.099398031098,-98.0297124336887,-161.054269025994,1.49011611938477e-08,1.49011611938477e-08,1.94968930512271,5.19829138200595,6.05644943995837,3.54946565871675,18,45
0.035,300,45,453.926566773727,409.813055503907,453.926566773727,14092.0621780049,14016.7645471745,13726.9858422175,60.4234435956026,69.1526522303902,21.137110671329,-391.29034249167,-148.28820312953,1.49011611938477e-08,1.49011611938477e-08,1.88982337972871,2.00305499168086,1.38045069357652,3.94769764835312,18,45
0.036,300,45,349.119213456915,414.595965433025,349.119213456915,14176.2907892642,13581.4072267882,14010.1538458522,63.029472229909,70.7839971570341,21.3259653902332,-674.058887234649,-189.005900536488,1.49011611938477e-08,1.49011611938477e-08,1.78763819383511,0.611127887087754,1.49011611938477e-08,4.57848343479801,18,45
0.037,300,45,318.343574093134,412.206532211742,318.343574093134,13798.5141785294,13512.1712991625,14388.2108199262,67.5926108410093,73.0275746764508,22.285294857187,-858.644227362857,-251.715132577353,1.49011611938477e-08,1.49011611938477e-08,1.82257046092704,1.49011611938477e-08,1.49011611938477e-08,3.55703377625509,18,45
0.038,300,45,527.468031222248,282.894770310611,527.468031222248,13403.1737717227,13900.4090813239,14409.1221907356,71.8135178620564,74.5861671368575,23.7067477029038,-881.377710632357,-338.646640977972,1.49011611938477e-08,1.49011611938477e-08,1.91294094728762,1.49011611938477e-08,1.49011611938477e-08,3.27544221712064,18,45
0.039,300,45,595.634411689868,-3482.38712276169,595.634411689868,13450.5559876838,14248.9303762552,14054.0432060321,73.677598771462,74.6502551014707,23.9272699808803,-761.626218654755,-423.37128607411,1.49011611938477e-08,1.49011611938477e-08,1.95193488019969,0.337818408926998,1.49011611938477e-08,3.51143916240914,18,45
0.04,300,45,587.332635836202,-2162.08999456857,587.332635836202,13868.1775762679,14149.4010785412,13765.4196001679,73.7019164364063,72.9456012143817,23.0190202575232,-524.494877465523,-442.028977401992,1.49011611938477e-08,1.49011611938477e-08,1.9277614779297,0.79305374266947,0.376812043331516,3.65452660334805,18,45
0.041,300,45,510.094373542123,331.21262609504,510.094373542123,14153.4961141532,13737.2390561501,13978.8019048166,72.3272813372157,69.346227106257,21.9391356769684,-249.90569428508,-368.010285632112,1.49011611938477e-08,1.49011611938477e-08,1.81722041592935,1.28077371401746,1.17824426610809,2.77077282986123,18,45
0.042,300,45,393.845559613341,394.289925556824,393.845559613341,13958.0995097396,13557.7923278964,14432.4076211014,70.1384529709582,64.3287584786789,21.5185316501491,5.84278134040447,-245.525537522255,1.49011611938477e-08,1.49011611938477e-08,1.81001599806815,1.76297721496725,1.30053983315826,2.35984932528541,18,45
0.043,300,45,280.125771458332,393.988875298323,280.125771458332,13559.2050527515,13845.2028969039,14563.5458762503,67.0581629904149,59.0951791189803,21.6862391663173,115.329409506798,-113.043892723548,1.49011611938477e-08,1.49011611938477e-08,1.89723366335364,2.25349960104458,1.06354977678876,2.23775839886893,18,45
0.044,300,45,253.801624591133,391.394373736903,253.801624591133,13499.1239751452,14218.1229036378,14220.5190859067,63.7768062341477,55.5211788968419,21.7043397120014,12.9788569062934,-6.60112216240962,1.49011611938477e-08,1.49011611938477e-08,1.94631092505983,3.87585139116532,1.95564476965773,2.25385921621064,18,45
0.045,300,45,237.924588404578,388.547036217929,237.924588404578,13884.7861758916,14194.7753504111,13832.5425335446,62.0738423741363,54.8211630670895,21.9427211249782,-277.028177773152,18.9354199251813,1.49011611938477e-08,1.49011611938477e-08,1.93772254802362,2.63119251769617,3.64821096391646,2.63778476156218,18,45
0.046,300,45,157.313591789809,387.104655905314,157.313591789809,14227.6692169588,13782.1603834304,13895.9443457977,63.821523848882,57.1248991198141,21.8040830292217,-584.923164267991,-79.6030857158326,1.49011611938477e-08,1.49011611938477e-08,1.82152182204827,1.02001046193382,0.211771548904785,3.63782161577476,18,45
0.047,300,45,158.677523314144,383.862176499696,158.677523314144,14116.4542562183,13493.744755618,14318.035285378,68.0915854531293,61.0042898355154,19.3201001531013,-752.408487854091,-257.553603745823,1.49011611938477e-08,1.49011611938477e-08,1.77528933788691,0.373641312400596,1.49011611938477e-08,4.08956554395816,18,45
0.048,300,45,295.362089717775,377.771315301894,295.362089717775,13675.2503699735,13699.2556557455,14525.7072267632,72.5627358103033,64.622793916419,16.7264543616347,-753.198413755459,-370.862429348601,1.49011611938477e-08,1.49011611938477e-08,1.86670154435319,1.49011611938477e-08,1.49011611938477e-08,2.70984174630917,18,45
0.049,300,45,503.306222468421,326.689674157059,503.306222468421,13474.2734249099,14123.2500639103,14256.9851222089,75.7042699033425,67.0426937380846,15.6881449780223,-666.318111073353,-428.238588745196,1.49011611938477e-08,1.49011611938477e-08,1.9369183863183,1.49011611938477e-08,1.49011611938477e-08,2.12478767626748,18,45
0.05,300,45,592.282669548225,361.56321780109,592.282669548225,13755.158072209,14232.5089303871,13824.219110612,76.6557418244747,68.0722919972182,15.5696800047044,-526.931432600093,-448.664166439787,1.49011611938477e-08,1.49011611938477e-08,1.94488998835971,1.49011611938477e-08,1.49011611938477e-08,2.66376550512878,18,45
