Time,Irradiance,Temp,Vpv,Ipv,Vdc,Vrms_1,Vrms_2,Vrms_3,Irms_1,Irms_2,Irms_3,Pac,Q,THDv_1,THDv_2,THDv_3,THDi_1,THDi_2,THDi_3,ScenarioID,SetTemp
0,300,15,480.049795288998,534.191598638099,480.049795288998,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.001,300,15,488.021851027446,513.66825849041,488.021851027446,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.002,300,15,473.978004339563,512.434919857597,473.978004339563,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.003,300,15,439.761373257427,511.505532440027,439.761373257427,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.004,300,15,413.451406650799,509.311898544867,413.451406650799,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.005,300,15,389.699798090805,506.930970792416,389.699798090805,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.006,300,15,380.467935109987,504.06370851326,380.467935109987,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.007,300,15,438.867526154734,499.059887294905,438.867526154734,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.008,300,15,439.181678620715,495.913994785032,439.181678620715,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.009,300,15,451.605891737849,492.249403998082,451.605891737849,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.01,300,15,452.744662633165,489.072263590491,452.744662633165,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.011,300,15,424.994706173533,487.077011074344,424.994706173533,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.012,300,15,375.940618045801,485.392772731351,375.940618045801,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.013,300,15,273.533944248966,485.074726548151,273.533944248966,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.014,300,15,239.903254898818,482.855225423102,239.903254898818,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.015,300,15,259.539325811218,479.195182424679,259.539325811218,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.016,300,15,265.943147205789,475.860139960442,265.943147205789,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
0.017,300,15,400.509819079762,469.041800678594,400.509819079762,13647.9283514559,13842.8906125939,14470.1694696662,54.2286672730005,67.7276402693473,15.8689850107751,-663.611060224591,-392.671783070416,1.49011611938477e-08,1.49011611938477e-08,1.89146100159612,1.49011611938477e-08,1.49011611938477e-08,0.598243431556192,3,15
0.018,300,15,440.515086624616,464.650773046731,440.515086624616,13673.6863119955,14195.9563515256,14079.8055195075,56.8388993911163,69.8946880592709,15.8654724474684,-560.473002972547,-430.113708885301,1.49011611938477e-08,1.49011611938477e-08,1.93885591106472,1.49011611938477e-08,1.49011611938477e-08,0.635495588693819,3,15
0.019,300,15,405.079842595253,462.644015092026,405.079842595253,14104.3282020091,14120.1228528634,13765.2306343433,58.1994554083192,70.5860965360248,15.7452402702306,-373.52089072707,-456.67745165079,1.49011611938477e-08,1.49011611938477e-08,1.90100893454599,0.312181211797717,1.49011611938477e-08,0.947534486637778,3,15
0.02,300,15,300.945578088999,462.289539514175,300.945578088999,14400.5398725704,13720.7643851696,13936.8506626045,58.5709251377603,69.8383248269721,15.5635075074817,-119.613124756496,-420.708410233523,1.49011611938477e-08,1.49011611938477e-08,1.77557617940723,1.24473401139123,0.724263994805158,1.39041474016902,3,15
0.021,300,15,244.27049676042,460.620771536681,244.27049676042,14191.9404466815,13520.0360585816,14348.0418496611,58.4566379699694,67.9233996108215,14.216380246846,68.9516464988542,-297.622154937044,1.49011611938477e-08,1.49011611938477e-08,1.77091772865086,2.03149915290859,1.68270984859325,2.37942373671827,3,15
0.022,300,15,213.678251454199,458.270783552616,213.678251454199,13779.7617537385,13787.4575961338,14475.8408923894,57.6962068732049,65.9504870676593,12.8878473172476,121.883487093531,-170.684648426907,1.49011611938477e-08,1.49011611938477e-08,1.87238807152866,2.67507773018006,2.74708217979398,4.28495751637169,3,15
0.023,300,15,150.306949483418,456.717742907083,150.306949483418,13686.3194194037,14168.6696890285,14137.8540836296,56.8331939271321,65.3419597773353,13.4999802245367,2.95267311628592,-117.930349558255,1.49011611938477e-08,1.49011611938477e-08,1.93535337095619,7.70903020848567,7.39191865827779,2.74713670306351,3,15
0.024,300,15,37.8803126722507,456.418092308823,37.8803126722507,14039.4167156448,14167.9178498809,13733.1874769792,57.7932844580573,67.225224388251,14.4886777413762,-270.250949147719,-173.88849968364,1.49011611938477e-08,1.49011611938477e-08,1.92174878189158,2.66028997814279,1.15908050404327,0.901143468893565,3,15
0.025,300,15,17.5207294772117,453.774791454544,17.5207294772117,14367.5343199886,13764.64244806,13776.6820156649,60.5426048263172,71.1362271264645,15.2345042744383,-562.968391394356,-324.204123313703,1.49011611938477e-08,1.49011611938477e-08,1.80108941502435,0.567417998707632,1.49011611938477e-08,1.49011611938477e-08,3,15
0.026,300,15,66.3891380409459,449.339448933436,66.3891380409459,14232.043739999,13451.7047646701,14180.428205032,64.673896940839,75.7235675382278,15.3820749213674,-734.176215682345,-463.258905052166,1.49011611938477e-08,1.49011611938477e-08,1.75470130805048,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,3,15
