Time,Irradiance,Temp,Vpv,Ipv,Vdc,Vrms_1,Vrms_2,Vrms_3,Irms_1,Irms_2,Irms_3,Pac,Q,THDv_1,THDv_2,THDv_3,THDi_1,THDi_2,THDi_3,ScenarioID,SetTemp
0,1000,45,480.050256339729,539.144292038506,480.050256339729,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.001,1000,45,487.352859485509,494.537447390453,487.352859485509,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.002,1000,45,472.602042894548,509.342105235408,472.602042894548,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.003,1000,45,438.553623143213,522.851150329403,438.553623143213,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.004,1000,45,412.780606075885,525.849436673197,412.780606075885,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.005,1000,45,389.746468278243,527.21824882608,389.746468278243,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.006,1000,45,381.370596126102,527.565561324529,381.370596126102,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.007,1000,45,440.009038735837,522.601480072369,440.009038735837,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.008,1000,45,439.612140864177,522.58361873942,439.612140864177,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.009,1000,45,452.723977607936,519.420240269759,452.723977607936,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.01,1000,45,454.613582841165,518.783306295584,454.613582841165,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.011,1000,45,427.238836153184,524.499489975239,427.238836153184,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.012,1000,45,379.05047385595,527.663375340026,379.05047385595,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.013,1000,45,277.370852150118,530.890501082016,277.370852150118,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.014,1000,45,245.178282703883,531.868120558031,245.178282703883,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.015,1000,45,268.054890627796,531.202440884461,268.054890627796,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.016,1000,45,271.406298788174,531.113002448923,271.406298788174,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,17,45
0.017,1000,45,405.760728003117,526.365530076452,405.760728003117,13648.9689479252,13842.6040589664,14471.243999656,54.347943727294,68.0000852976433,15.9321299208245,-665.022708102554,-393.66699389177,1.49011611938477e-08,1.49011611938477e-08,1.89138933024829,1.49011611938477e-08,1.49011611938477e-08,0.555621431843536,17,45
0.018,1000,45,446.855347578818,521.084967719616,446.855347578818,13674.60634732,14195.7979419779,14081.3645417026,56.9225198513446,70.1966880243762,15.9351128089899,-561.3562924133,-429.624388774136,1.49011611938477e-08,1.49011611938477e-08,1.93879191388175,1.49011611938477e-08,1.49011611938477e-08,0.588347143425978,17,45
0.019,1000,45,410.934491781589,525.99757988355,410.934491781589,14105.8191737608,14120.5715296168,13766.7127288007,58.2875308561603,70.9260196487589,15.8043767735933,-373.076323707024,-454.454130745341,1.49011611938477e-08,1.49011611938477e-08,1.90089725527212,0.294699134054699,1.49011611938477e-08,0.92103643058794,17,45
0.02,1000,45,306.2532872382,530.030012226831,306.2532872382,14402.8679649629,13721.2341507034,13938.6000111793,58.6802175138208,70.2111555988386,15.6062403771946,-118.008638484687,-417.187139949573,1.49011611938477e-08,1.49011611938477e-08,1.77536061133786,1.24149325653197,0.731727229009688,1.38722821518951,17,45
0.021,1000,45,249.604263296734,531.730231863517,249.604263296734,14194.8061999265,13520.467210555,14350.0000428757,58.6020605599737,68.3419250261552,14.2578040556946,71.3811250448996,-293.288269562829,1.49011611938477e-08,1.49011611938477e-08,1.77069504879726,2.04346342743128,1.68842759321256,2.39857296136428,17,45
0.022,1000,45,222.449631490589,532.541012297808,222.449631490589,13782.7399820027,13787.9930984974,14477.768412762,57.8795224571499,66.429055414387,12.9442852884817,124.278981042617,-165.793452441104,1.49011611938477e-08,1.49011611938477e-08,1.87224450922331,2.70072555577549,2.74023446979966,4.41516825803435,17,45
0.023,1000,45,160.052648787748,534.39921442657,160.052648787748,13689.2375949785,14168.7120975364,14139.5525530822,57.0523239142377,65.889598756176,13.5880027369602,4.17759812752578,-112.916188079065,1.49011611938477e-08,1.49011611938477e-08,1.93530375454427,8.07354306646183,7.69547510937032,2.85086344547143,17,45
0.024,1000,45,45.9326937937589,537.808622953214,45.9326937937589,14041.6470596314,14167.3347022077,13734.8754108048,58.072472270993,67.8564233531439,14.5981123943014,-271.723600956961,-169.188172552336,1.49011611938477e-08,1.49011611938477e-08,1.92166575221372,2.5934642154409,1.16446333171071,0.913365732278287,17,45
0.025,1000,45,18.0979159770335,538.683201755845,18.0979159770335,14369.0492341691,13763.4709562793,13778.3320592434,60.9097145589155,71.8503731553545,15.3406398500952,-568.088803354087,-320.456620330482,1.49011611938477e-08,1.49011611938477e-08,1.80092718314996,0.527783188358764,1.49011611938477e-08,1.49011611938477e-08,17,45
