Time,Irradiance,Temp,Vpv,Ipv,Vdc,Vrms_1,Vrms_2,Vrms_3,Irms_1,Irms_2,Irms_3,Pac,Q,THDv_1,THDv_2,THDv_3,THDi_1,THDi_2,THDi_3,ScenarioID,SetTemp
0,1000,55,480.050409520308,540.78978654062,480.050409520308,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.001,1000,55,486.495640385935,469.874035337645,486.495640385935,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.002,1000,55,470.906239023618,497.112490133798,470.906239023618,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.003,1000,55,436.238720034222,521.435095632613,436.238720034222,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.004,1000,55,410.718227206151,526.485281611545,410.718227206151,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.005,1000,55,387.973681412687,528.522867676448,387.973681412687,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.006,1000,55,380.092912208277,528.961247422523,380.092912208277,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.007,1000,55,440.341901451903,520.071945317895,440.341901451903,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.008,1000,55,441.526521116673,519.509800813761,441.526521116673,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.009,1000,55,454.671883193301,512.803416210773,454.671883193301,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.01,1000,55,456.045764648367,511.83724476481,456.045764648367,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.011,1000,55,429.089110240934,523.364455524251,429.089110240934,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.012,1000,55,381.138735793349,528.911515511974,381.138735793349,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.013,1000,55,279.531137700378,532.465679348883,279.531137700378,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.014,1000,55,247.836271173055,533.431314476367,247.836271173055,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.015,1000,55,271.34893692726,532.744856854482,271.34893692726,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.016,1000,55,273.521064878218,532.690435609053,273.521064878218,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,22,55
0.017,1000,55,407.248270092724,526.935030749025,407.248270092724,13648.8870091487,13842.309406014,14471.9372067519,54.3008813484269,67.8476278811325,15.8035286021594,-665.01662503226,-392.74478124468,1.49011611938477e-08,1.49011611938477e-08,1.8914018287013,1.49011611938477e-08,1.49011611938477e-08,0.560773403949983,22,55
0.018,1000,55,448.034046050459,516.686884699112,448.034046050459,13674.6234042934,14195.4388433652,14081.9190027321,56.85508598648,70.0356642201371,15.807737774568,-561.71757146351,-428.454141306182,1.49011611938477e-08,1.49011611938477e-08,1.93879649970971,1.49011611938477e-08,1.49011611938477e-08,0.592890806534412,22,55
0.019,1000,55,412.258886597546,526.309288771681,412.258886597546,14105.8431641417,14120.2567437001,13767.3240874762,58.2060039253761,70.7570644343102,15.6769684083635,-374.032918753729,-453.258108317261,1.49011611938477e-08,1.49011611938477e-08,1.90090954304333,0.279235988065772,1.49011611938477e-08,0.924631391390031,22,55
0.02,1000,55,308.564640521806,531.590125244118,308.564640521806,14402.7420611106,13720.7623358504,13939.2592749483,58.5833361329759,70.0306279398248,15.4794662108374,-119.493377317011,-416.260296521397,1.49011611938477e-08,1.49011611938477e-08,1.77535836249193,1.23200835555272,0.731632243746465,1.39103448269717,22,55
0.021,1000,55,251.921873084954,533.303374883629,251.921873084954,14195.0175331613,13519.9840081754,14350.8287766161,58.4920710305343,68.1496310797233,14.1351795454481,69.8656856185534,-292.817698280023,1.49011611938477e-08,1.49011611938477e-08,1.77064796803607,2.04353762094634,1.68742645010301,2.39851134956626,22,55
0.022,1000,55,224.902702355001,534.110849657472,224.902702355001,13783.0529764695,13787.4716624205,14478.6728295859,57.7565718870515,66.2270302466382,12.8275319953209,123.036851765064,-165.547621827684,1.49011611938477e-08,1.49011611938477e-08,1.87220307446295,2.71833345408462,2.74430698177895,4.40718697030391,22,55
0.023,1000,55,163.308522927193,535.945320232817,163.308522927193,13689.5729759758,14168.1586901376,14140.6227654581,56.9171955987558,65.684275150421,13.4844643704018,3.1857689956417,-112.498148532612,1.49011611938477e-08,1.49011611938477e-08,1.93528933209504,8.20962677768428,7.56436747007942,2.87149268087948,22,55
0.024,1000,55,49.0868857501271,539.357772028457,49.0868857501271,14041.8703855369,14166.7217038572,13735.8517880459,57.9409407371381,67.6581696276277,14.5001088393535,-272.624618721972,-168.262682342006,1.49011611938477e-08,1.49011611938477e-08,1.92162285404619,2.55162147866616,1.16192954634315,0.921742936003746,22,55
0.025,1000,55,18.1072565360103,540.326428300387,18.1072565360103,14369.39060667,13763.1074324009,13779.3229700428,60.8032064088339,71.6723848020958,15.2352917094573,-569.059015599524,-318.969171867648,1.49011611938477e-08,1.49011611938477e-08,1.80087786126474,0.512482286866422,1.49011611938477e-08,1.49011611938477e-08,22,55
