Time,Vrms_1,Vrms_2,Vrms_3,Irms_1,Irms_2,Irms_3,Irradiance,Pac,Q,THDv_1,THDv_2,THDv_3,THDi_1,THDi_2,THDi_3,Vdc,Ipv,Vpv,Temp,Pdc,ScenarioID,ProfileName,TempSetpoint
0.3,14341.1095996723,14340.9397723799,14341.1268072442,5.97888647198404,5.972750662584,5.99104820031422,1000,260026.984399577,5211.56910007174,0.000702061011065768,0.000704513759166086,0.000715621104527802,0.0164576143728975,0.0158061023360336,0.0165047270489555,525.156828156886,499.643619857552,525.156828156886,15,262391.258613217,1,DeepDip_Recover,15
0.316666666666667,14340.8267895846,14340.9750419569,14340.9782151201,5.96509425512971,5.99325583005487,5.97826962069346,1000,257204.319993213,4188.58649816571,0.000696736972950001,0.00070203971085634,0.0007119670285022,0.0152050062776929,0.0156265679766732,0.0167682018764238,525.37421041039,499.434095964623,525.37421041039,15,262389.793819441,1,DeepDip_Recover,15
0.333333333333333,14341.0484886995,14341.0477881194,14341.0823314379,5.96480246011768,5.97097373176732,5.96076061086875,1000,258213.109188273,5695.83013670565,0.00070937941804441,0.000702614859378272,0.000721383516003196,0.0167112343895771,0.0161278444842738,0.0166010048847384,526.150188748431,498.66442524271,526.150188748431,15,262372.381463579,1,DeepDip_Recover,15
0.35,14340.9914813419,14341.1285936575,14341.1572056259,6.00842509734546,6.01914799582776,6.00918261462502,1000,257974.731184627,4514.80128629331,0.000701133104459904,0.000708518528191273,0.00070994285730866,0.0160545731321782,0.0155221371317737,0.0160063207723795,524.539944577745,500.231933070291,524.539944577745,15,262391.630448709,1,DeepDip_Recover,15
0.366666666666667,14341.0407901185,14340.955671561,14341.0082612929,5.94552647234947,5.95778821786158,5.95623193013199,1000,257160.831389408,5917.07822455444,0.000701769788098695,0.000692933705071722,0.000704287649250358,0.0158348544285315,0.0156665684259574,0.0158674300273515,525.989229968577,498.826953843793,525.989229968577,15,262377.605339868,1,DeepDip_Recover,15
0.383333333333333,14341.2211909135,14341.1724484292,14341.2276737332,6.00869665611155,5.99522919952543,6.00149868362672,1000,259588.198625984,5995.56264842727,0.000703091686321506,0.000702367561011265,0.000711537934597145,0.0159364312007872,0.0152590586661984,0.0162611835999516,524.769306209809,500.014645979226,524.769306209809,15,262392.338865262,1,DeepDip_Recover,15
0.4,14340.9160331369,14340.9232262667,14340.8804707808,5.96207570650089,5.98166929070344,5.97939767951685,200,255403.024130869,5898.05446216252,0.000708939378637801,0.000718964007699897,0.000716487511910308,0.0157990215394933,0.0174034541887322,0.0174191090755906,525.260458911241,499.529315605282,525.260458911241,15,262382.997554448,1,DeepDip_Recover,15
0.416666666666667,14339.9698872378,14340.4358758233,14339.8473577824,5.76870113400996,5.82820915907109,5.79694553811856,200,235652.085693846,4501.9010965417,0.000693785964148868,0.000702145870399964,0.00069993450732885,0.0235640707955967,0.021117479277661,0.0283183625383381,520.060898220788,453.75195027784,520.060898220788,15,235978.646830928,1,DeepDip_Recover,15
0.433333333333333,14338.6864650377,14339.1385158649,14338.4473955089,5.12252287006875,5.21516964855694,5.19599103498495,200,207083.445408081,2042.59763040262,0.000701982217506205,0.000730347815432687,0.000699605127088198,0.0285696088102668,0.0280684358096912,0.043354632103651,515.941577220202,405.596869667214,515.941577220202,15,209264.288651679,1,DeepDip_Recover,15
0.45,14337.4859240452,14337.8834750745,14337.1995725273,4.43349469743574,4.5584846249428,4.50454597853952,200,176750.891042077,7434.20733600255,0.000684098939925952,0.000680090713403292,0.00068865659038179,0.030640875605892,0.0362148238017167,0.0532015752602836,515.777517878907,354.849898866302,515.777517878907,15,183023.600056843,1,DeepDip_Recover,15
