Irradiance,Temperature,Vpv,Ipv,Vdc,VaPeak,IaPeak,Vrms,Irms,Pac,Q,THDv,THDi
1000,25,459.849184940629,132.264481417911,459.849184940629,20041.2420530876,-53.9110203184401,13814.0862416681,63.388565923383,-1685162.08536092,-2094315.07155487,1.49011611938477e-08,1.54111202156617
1000,25,472.911702039852,197.303075705891,472.911702039852,20049.4854389911,-52.6103214017203,13875.6312861301,62.9880554259649,-1448808.00848894,-2376650.7951399,1.49011611938477e-08,1.47263144207799
1000,25,429.877500650707,232.011579591006,429.877500650707,19017.9670430263,-87.0322086291435,14008.0732128498,38.4944973585246,-2478460.93187844,-646487.472979736,1.49011611938477e-08,0.624433437141377
1000,25,466.57335424603,262.822588686643,466.57335424603,20092.8827304251,-50.1774919302451,13815.833714633,62.8711775084022,-1561795.10831812,-2242480.55167928,1.49011611938477e-08,1.50994500784182
1000,25,476.533437640543,327.461040150469,476.533437640543,20034.7711063121,-54.0196288493833,13886.6039943426,62.8522561390836,-1457663.42552584,-2445373.92287934,1.49011611938477e-08,1.43179984090104
1000,25,470.507830820738,393.070518646064,470.507830820738,20117.3094640647,-49.8965897274093,13823.5108405902,62.5993539133106,-1531957.03581495,-2320265.11478978,1.49011611938477e-08,1.4742099026104
1000,25,477.444183832913,457.477213163526,477.444183832913,20014.5948740059,-51.4337695560138,13887.8073372622,62.4357679942496,-1355981.44526907,-2538991.03211289,1.49011611938477e-08,1.41748224065591
1000,25,441.169603234192,494.001704862352,441.169603234192,19009.5535339136,-86.5034999444297,14005.3807209453,38.029615842909,-2464182.50178263,-704484.068930323,1.49011611938477e-08,0.590610680522697
1000,25,471.906711695623,518.627680688549,471.906711695623,20150.0621047038,-47.6779073269853,13827.8227149986,62.1688475756083,-1450392.02204177,-2436842.81320977,1.49011611938477e-08,1.45305706122602
1000,25,478.829833902337,517.134555092321,478.829833902337,19994.8836189447,-52.7674058137113,13894.0764549793,62.2295018509968,-1377424.70582299,-2564192.16555181,1.49011611938477e-08,1.38364009877839
1000,25,470.878506520379,518.814533918429,470.878506520379,20154.2864315959,-48.6941867103291,13837.0974156091,62.0096302661149,-1450984.21880177,-2471685.56469324,1.49011611938477e-08,1.42699731042823
1000,25,475.821873067795,517.824531349718,475.821873067795,19977.5327546484,-50.1091827141333,13892.1542253974,61.989014685934,-1283072.88281157,-2628956.27588486,1.49011611938477e-08,1.38706358932616
1000,25,441.81985524025,521.933631453588,441.81985524025,19009.0556003735,-87.4684329795354,14004.0358974718,37.1846301763354,-2490334.19752315,-767077.0856381,1.49011611938477e-08,0.569182177390667
1000,25,464.852960644409,519.762969451859,464.852960644409,20147.2961927509,-47.5082557105176,13845.548094926,61.8666889375042,-1382739.39527841,-2558897.0708245,1.49011611938477e-08,1.4183434343127
1000,25,475.473810469368,518.073856626044,475.473810469368,19962.5418864279,-52.1950178319697,13884.1016796132,61.9801291849864,-1382275.99525317,-2582588.72105772,1.49011611938477e-08,1.378833772704
1000,25,464.307535349969,519.838626925184,464.307535349969,20148.1475667521,-48.4064289161994,13851.0751898462,61.604087434772,-1385685.04910685,-2584592.99462761,1.49011611938477e-08,1.3890081961122
1000,25,466.559847192866,519.631702705894,466.559847192866,19962.1911823441,-50.1332157881868,13845.1473009192,61.608894635861,-1440034.60060163,-2514231.56074616,1.49011611938477e-08,1.40531083993053
1000,25,445.082259582088,521.706926380957,445.082259582088,19009.3344851407,-87.2765824888288,14000.6692128202,37.1130252799212,-2481333.53485375,-823573.910774904,1.49011611938477e-08,0.575557529202129
1000,25,462.169319329966,520.115919657387,462.169319329966,20132.7912188624,-46.5238335890494,13855.9404326229,61.2411372582861,-1300909.39583699,-2644308.52670528,1.49011611938477e-08,1.37498219875066
1000,25,462.020953348484,520.244942233317,462.020953348484,19964.9357667659,-52.0229901595022,13825.681114832,61.408162883318,-1572585.40638789,-2425811.21771294,1.49011611938477e-08,1.39780053201063
1000,25,465.006036684919,519.737604127919,465.006036684919,20116.2415520967,-48.0714667643103,13864.0489290544,61.2138186682043,-1314798.43837283,-2647581.76919443,1.49011611938477e-08,1.35452284392427
1000,25,461.138369325116,520.258079568622,461.138369325116,19996.2980190943,-53.1211169120647,13822.0954634757,61.3992843430729,-1621653.24237654,-2394555.42520091,1.49011611938477e-08,1.38562764174118
1000,25,452.767558015196,521.102444138322,452.767558015196,19001.8462195202,-85.8338107904119,13997.6227232853,38.2586079006801,-2437467.75134024,-866449.749646485,1.49011611938477e-08,0.572615185278675
1000,25,467.521136784949,519.364321635506,467.521136784949,20090.586572632,-48.8915968892922,13871.0324269591,61.1129696737012,-1313790.67637553,-2651743.0426173,1.49011611938477e-08,1.33591331304971
1000,25,461.955793334805,520.152212924304,461.955793334805,20046.1648071578,-49.9913854794195,13817.4554942349,61.267476708354,-1536824.90340513,-2447551.96262333,1.49011611938477e-08,1.39948665399473
1000,25,471.9196512018,518.617304685878,471.9196512018,20076.1404740846,-51.0552710487458,13880.0610383396,61.2322717413225,-1356629.82551856,-2640874.47329184,1.49011611938477e-08,1.32443497263933
1000,25,460.964266085624,520.274024773713,460.964266085624,20079.1044358541,-49.8325689305253,13820.0461529831,61.1263421469729,-1524502.02652917,-2478313.11524705,1.49011611938477e-08,1.38568575745185
1000,25,446.951083620236,521.589478037085,446.951083620236,19004.994836621,-86.8870338245191,14000.2346850763,37.1320849322587,-2464050.19290687,-903305.44267456,1.49011611938477e-08,0.56411424710731
1000,25,469.394411986994,519.059562448086,469.394411986994,20043.6591983329,-50.1902426246466,13883.1809171446,61.3891355944629,-1302889.01931963,-2690425.97887577,1.49011611938477e-08,1.33942300917622
1000,25,462.963935598869,520.024892672704,462.963935598869,20086.7661659197,-51.7569020865683,13831.0335988823,61.3550300917713,-1558020.48195908,-2486234.67190534,1.49011611938477e-08,1.37354040792855
