Time,Irradiance,PV_Voltage,PV_Current,PV_Power,SOC,Vdc,Va,Vb,Vc,Ia,Ib,Ic,Vrms,Irms,Vpeak,Ipeak,ActivePower,ReactivePower,ApparentPower,PowerFactor
0,800,78.6611799203275,3.14644595377278,247.503151279307,20,500.000000032726,-0.000162249560980508,-196.73120594426,196.731368193811,-1.76522463186382e-07,-0.196300857513224,0.19630103403547,160.63042325342,0.160279051057682,196.731368193811,0.19630103403547,77.2370754301557,5.13569336617899e-06,77.2370754301559,0.999999999999998
0.1,800,72.655637539355,272.452722641851,19795.2262628767,19.9989373737067,135.164628014429,-0.00312287898342746,-132.541510247437,132.544341774772,-4.8018459145269e-07,-6.61412351791806,6.61412399810764,108.220845935416,5.40040943425035,132.544341774772,6.61412399810764,1753.31063177535,0.0345886895532677,1753.31063211653,0.99999999980541
0.2,800,0.00317427916388635,317.382371264873,1.00746024809093,19.9989352105958,609.965233280785,0.0108583717597439,-132.557154081048,132.543414754902,6.09441749817043e-08,-6.61464838533752,6.61464832436694,108.226854355194,5.40083776577605,132.557154081048,6.61464838533752,1753.54704152219,0.136282779193973,1753.54704681802,0.999999996979929
0.3,800,0.00319674386391009,317.382369285044,1.01459014152521,19.9989330475009,619.780872325936,0.00140306311979943,-132.548578838787,132.547849328274,-2.801788532407e-07,-6.61441047029316,6.61441075041093,108.22516361072,5.40064364820452,132.548578838787,6.61441075041093,1753.45662723414,0.0140455474926371,1753.45662729039,0.999999999967918
0.4,800,0.192097370652523,317.361357569276,60.9642823357732,19.998930884415,505.378044306528,0.00202218147402509,-132.546995812262,132.544152253489,-2.39337843336552e-07,-6.61444836741504,6.61444860670444,108.22300802747,5.40067457440685,132.546995812262,6.61444860670444,1753.43174325562,0.0267295660468275,1753.43174345935,0.999999999883808
0.5,800,44.8706692446732,303.195780696648,13604.5975920198,19.998928721344,502.457506824331,-0.000470588293926011,-132.546684202865,132.545769871912,-3.43722049072747e-07,-6.61437406447212,6.6143744082061,108.223541191883,5.40061394894733,132.546684202865,6.6143744082061,1753.42069848012,0.00747951536353057,1753.42069849607,0.999999999990902
0.6,800,0.00317289942958663,317.382371024956,1.00702234398594,19.9989265582802,682.041893085793,0.0113026949442385,-132.560880693667,132.547881362304,4.11966141346222e-08,-6.61452150623903,6.61452146509325,108.230199223179,5.40073417751939,132.560880693667,6.61452150623903,1753.5676026583,0.136269686806672,1753.56760795306,0.99999999698058
0.7,800,0.00317620252688782,317.382371642716,1.00807069080124,19.998924395221,509.215024526421,0.00183951461118613,-132.546031383192,132.544428207451,-2.75147340751424e-07,-6.61442244584903,6.61442272106579,108.22272695335,5.40065342420412,132.546031383192,6.61442272106579,1753.42032257473,0.0202752620228829,1753.42032269195,0.999999999933145
0.8,800,0.00317636009029369,317.382371673005,1.00812069874489,19.9989222321642,500.5600343134,0.00123369704326104,-132.548612328949,132.545431038512,-2.78928361580557e-07,-6.61434407916377,6.61434435817869,108.224190027056,5.40058943962414,132.548612328949,6.61434435817869,1753.42325315096,0.0240564863319711,1753.42325331598,0.999999999905885
0.9,800,0.00317637006237729,317.382371673365,1.00812386370958,19.9989200691129,500.353763847812,0.00118122958549637,-132.548534530921,132.545489673469,-2.81286217155629e-07,-6.61435071010447,6.61435099160233,108.224182202916,5.4005948547782,132.548534530921,6.61435099160233,1753.4248845517,0.0230297643377719,1753.42488470293,0.999999999913747
1,800,0.00319918589458723,317.382368883926,1.01536519772414,19.9989179060689,499.266416158896,0.000977737716022309,-132.548408195842,132.545834622213,-2.91449885994914e-07,-6.61435733975085,6.6143576315492,108.224271448856,5.40060027206696,132.548408195842,6.6143576315492,1753.42808938567,0.0193838638172767,1753.42808949281,0.999999999938895
